Authority Terms,Mention only?,Researcher/Date,AltLastName,AltMiddleName,AltFirstName,Maiden Name,Title,AssociatedPlaces,Birth Place,Death Place,Place of Residence,Source for Places,Birth Date,Death Date,Marriage Date,Source for Dates,Spouse,Occupation,Occupation Source,Gender,Languages,Religions,Religions Source,Organizations,Organizations Source,Associated Letters,PRINT ID,LOD - WikiData,LOD - VIAF,LOD - LOC,Notes,HSP,LSF,SAA,SBB,AFSt,Barclay,Spence,Abraham,Incomplete?,
"Hall, John",False,BNC 11/26/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{https://www.wikitree.com/wiki/Hall-11933}} potential hit ,,1.0,,,,,1.0,,,
"Hall, Jonathan",False,,,,John,,,,,,,,,,,,,,,Male,English,,,,,,,,,,,1.0,,,,,,,,,
"Hall, Thomas",False,BNC 04/16/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not sure if this is actually a person... (BNC 04/16/2025),,,,,,,,1.0,,
"Halle, Herren Dekane U Professoren Der Theologischen U. Juristen",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
"Haller, Rudolf",False,,Halter; Hallar; Haler,,Rudolph; Rolph; Rollo; Rolf; Roeloff,,,,,,,,,,,,,,,Male,,,,,,16133,P000066,,,,,,,1.0,,,,,,,
"Hampton, Mary",False,,,,,,,,,,,,,,,,,,,Female,English,,,,,,P000405,N/A,N/A,N/A,,,1.0,,,,1.0,,,,
"Hanre, John",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000406,,,,,1.0,,,,,,,,,
"Hardman, Amos",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000407,,,,,1.0,,,,,,,,,
"Hardman, Roger",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000408,,,,,1.0,,,,,,,,,
"Hardman, Thomas",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000409,,,,,1.0,,,,,,,,,
"Harings, Egbert",False,,Härings; Herring,,Eckbert; Ekbert; Ecgbehrt,,,,,,,,,,,,,,,Male,,,,,,,P000410,,,,,,,1.0,,,,,,,
"Harrison, Lydia",False,,,,Lidea,,,,,,,,,,,,,,,Female,English,,,,,,P000068,,,,,1.0,,,,,,,,,
"Harrison, Mary",False,,,,,,,,,,,,,,,,,,,Female,English,,,,,,P000718,,,,,1.0,,,,,,,,,
"Hartley, John",False,,Harsley; Harvey,,,,,"Blackwell Hall, London, England",,,,,,,,,,,,Male,English,,,,,,P000411,,,,,1.0,,,,,,,,,
"Harwood, John",False,BNC 05/12/2025,,,,,,"near Newson, Delaware Bay",,,,15929,,,,,,,,Male,English,Quaker,,,,,P000412,,,,Had disagreements with George Fox over leadership disputes? (BNC 05/07/2025){{https://snaccooperative.org/view/74139466}} is this him? (BNC 05/12/2025),1.0,1.0,,,,1.0,,,,
"Hatton, Robert",False,,Halton,,,,,,,,,,,,,,,,,Male,English,,,,,15888,P000929,,,,,1.0,,,,,,,,,
"Hatton, William",False,,,,,,,"Knowsley, Lancashire, England",,,,,,,,,,,,Male,English,,,,,,P000070,,,,,1.0,,,,,,,,,
"Hawkins, John",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000413,,,,,1.0,,,,,,,,,
"Hawkins, Roger",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000414,,,,,1.0,,,,,,,,,
"Haworth, Andrew",False,,Hayworth; Howorth; Hawort,,,,,"London, England",,,,,,,,,,,,Male,English,,,,,,P000415,,,,,1.0,,,,,,,,,
"Haworth, George",False,,Hayworth; Howorth; Hawort,,,,,"Rossendale, Lancashire, England",,,,15975,,,,,,,,Male,English,,,,,16126,P000416,,,,,1.0,,,,,,,,,
"Haworth, James",False,,"Hayworth; Howorth; Hawort;
[Howard]",,,,,,,,,,,,,,,,,Male,English,,,,,,P000417,,,,,1.0,,,,,,,,,
"Haworth, Thomas",False,,Hayworth; Howorth; Hawort,,,,,"Chester, Cheshire, England",,,,,,,,,,,,Male,English,,,,,16082; 16081,P000418,,,,,1.0,,,,,,,,,
"Haydock, Elizabeth",False,,,,,,,,,,,,,,,,,,,Female,English,,,,,,P000072,,,,,1.0,,,,,,,,,
"Hayes, Jonathan",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000078,,,,,1.0,,,,,,,,,
"Heath, Andrew",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000422,,,,,1.0,,,,,,,,,
"Heathcote, George",False,AIN 3/7/2025,Heathcoat; Heathcot,,,,,"Bucks County, Pennsylvania; Ratcliffe,Middlesex, England; {{https://stars.library.ucf.edu/printmigrationnetwork-pemberton-hires/270/}}; [[History of Bucks County, Pennsylvania: Including an Account of Its Original 	Exploration, Its Relation to the Settlements of New Jersey and Delaware, Its Erection Into a Separate County, Also Its Subsequent Growth and Development, with Sketches of Its Historic and Interesting Localities, and Biographies of Many of Its Representative Citizens]]","Ratcliffe, Middlesex, England [[History of Bucks County, Pennsylvania: Including an Account of Its Original 	Exploration, Its Relation to the Settlements of New Jersey and Delaware, Its Erection Into a Separate County, Also Its Subsequent Growth and Development, with Sketches of Its Historic and Interesting Localities, and Biographies of Many of Its Representative Citizens]]","Bucks County, Pennsylvania [[Account of Some of the Families Bearing the Name of Heathcote]]",,,,1710-11-14  [[Account of Some of the Families Bearing the Name of Heathcote]]," 1671-02-20 [[England & Wales, Quaker Birth, Marriage, and Death Registers, 1578-1837]]",,"Margaret Groome [[England & Wales, Quaker Birth, Marriage, and Death Registers, 1578-1837]]","Merchant [[England & Wales, Quaker Birth, Marriage, and Death Registers, 1578-1837]]",,Male,English,Quaker,,,,16044,P000423,,,,,1.0,,,,,,,,,
"Heern, Cornelius",False,,Heeren; Hearn; Herren,,Cornelis; Kornelis; Kornelius,,,,,,,,,,,,,,,Male,,,,,,,P000425,,,,,,,1.0,,,,,,,
"Hees, P.",False,,,,Peter; Pieter,,,,,,,,,,,,,,,,,,,,,,P000932,,,,,,,1.0,,,,,,,
"Helgers, Jan",False,,Helchers,,John; Johan; Johannes,,,,,,,,,,,,,,,Male,,,,,,,P000931,,,,,,,1.0,,,,,,,
"Helgers, Joannes",False,,Helchers,,John; Johan; Johannes; Jan,,,,,,,,,,,,,,,Male,,,,,,,P000933,,,,,,,1.0,,,,,,,
"Henriette Christina, Fürstin Von Braunschweig U. Lüneburg, Äbtissin Zu Handersheim, Abschr.",False,,,,,,Fürstin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
"Herr, Christian",False,,Her,,Christe,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,1.0,,,,,,,
"Herr, Hans",False,,Her,,Hannes; Hanß,,,,,,,,1639-09-17,1725-01-21,,,,,,Male,,,,,,,P000935,,,,,,,1.0,,,,,,,
"Hex, Hendrik",False,,Hecks; Heks; Heckx; Hicks,,Hendrick; Henrik; Heinrich,,,,,,,,,,,,,,,Male,,,,,,,P000936,,,,,,,1.0,,,,,,,
"Hiencke, Frau V.",False,,Hüneke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
"Hiestand, Hans Jacob",False,,Histand; Hiesttant,,Hannes; Hanß,,,,,,,,,,,,,,,Male,,,,,,,P000937,,,,,,,1.0,,,,,,,
"Higgins, John",True,BNC 04/16/2025,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000938,,,,Only an intermediary for one letter (BNC 04/16/2025),,1.0,,,,1.0,1.0,1.0,,
"Higham, James",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000426,,,,,1.0,,,,,,,,,
"Higham, Ronald",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000427,,,,,1.0,,,,,,,,,
"Highfield, William",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000428,,,,,1.0,,,,,,,,,
"Hildebrand, Baron Carl, V. Canstein",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
"Hill, John",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,16088,P000429,,,,,1.0,,,,,,,,,
"Hill, Seth",False,,,,Seath,,,,,,,,,,,,,,,Male,English,,,,,,P000430,,,,,,,,,,,,,,
"Hindley, Hester",False,CLW 12/3/24,,,,,,,,,,,,,,,,,,Female,English,,,,,15768,P001135,,,,,1.0,,,,,,,,,
"Hindley, Hugh",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,16171,P000815,,,,,1.0,,,,,,,,,
"Hindley, Isaac",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000431,,,,,1.0,,,,,,,,,
"Hindley, James",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000432,,,,,1.0,,,,,,,,,
"Hingsbergh, Peter",False,,Heinzburg; Hinghzbergh,,Pieter,,,,,,,,,,,,,,,Male,English,,,,,15913,P000433,,,,,1.0,,,,,,,,,
"Hirschler, Jacob",False,,Herschler,,Jakob; Jacop; Jakop,,,,,,,,,,,,,,,Male,,,,,,,P000434,,,,,,,1.0,,,,,,,
"Hobson, John",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000939,,,,,1.0,,,,,,,,,
"Hodgson, Brian",False,,Hobson; Hodston,,,,,,,,,,,,,,,,,Male,English,,,,,,P000435,,,,,1.0,,,,,,,,,
"Hodgson, Edward",False,,Hodson,,,,,,,,,,,,,,,,,Male,English,,,,,15954,P001123,,,,,,,,,,,,,,
"Hodgson, Elizabeth",False,,Hobson; Hodston,,,,,,,,,,,,,,,,,Female,English,,,,,,P000081,,,,,1.0,,,,,,,,,
"Hodgson, Mary",False,CLW 12/9/24,Hobson; Hodston,,,,,,,,,,,,,,,,,Female,English,,,,,16066,P001139,,,,,1.0,,,,,,,,,
"Hodgson, Robert",False,,Hobson; Hodston,,,,,,,,,,,,,,,,,Male,English,,,,,16161; 16066,P000436,,,,,1.0,,,,,,,,,
"Hodgson, Thomas",False,,Hodson,,,,,,,,,,,,,,,,,Male,English,,,,,15954,P001124,,,,,,,,,,,,,,
"Hoefnagel, Pieter",False,BREN | 11/21/24,Hoofnagle; Hophnagel; Hoffnagel,,Peter; Peder,,,,"Haarlem, Netherlands","Haarlem, Netherlands","Haarlem, Netherlands",New Dutch Biographical Dictionary,,1737-11-00,1685-07-08,New Dutch Biographical Dictionary,,Preacher,GAMEO,Male,Dutch,Mennonite,,Kruisstraat Congregation,GAMEO,,P000437,,,,,,,1.0,,,,,,,
"Hoek, Jan Van",False,BREN | 11/21/24; 11/26/24,Hugo; Hock; Hoak; Hook; Houk; Hux; Vandenhoek,,John; Johan; Johannes,,,,,,"Amsterdam, Netherlands",GAMEO,,,,,,[Merchant]; [Banker],GAMEO,Male,Dutch,Mennonite,,,,,P000940,,,,,,,1.0,,,,,,,
"Hogehuis, Hendrik Van",False,,Hogerhuis; Hochhuis; Hooghuis,,Hendrick; Henrik; Heinrich,,,,,,,,,,,,,,,Male,,,,,,,P000941,,,,Not a real person.,,,1.0,,,,,,,
"Hohenhausen, Christoph",False,AMF 4/21/2025,,,,,,"Leipzig, Saxony, Germany; Gotha. Thuringia, Germany; Arnstadt, Thuringia, Germany {{https://archiv.francke-halle.de/hzeig.FAU?sid=39314B7F33&dm=1&dokref=1&indx=%23F211%23&auft=Hohenhausen%2C+Christoph}}","Białogard, Poland {{https://archiv.francke-halle.de/hzeig.FAU?sid=39314B7F33&dm=1&dokref=1&indx=%23F211%23&auft=Hohenhausen%2C+Christoph}}",,,,before 1690-00-00 {{}https://archiv.francke-halle.de/hzeig.FAU?sid=39314B7F33&dm=1&dokref=1&indx=%23F211%23&auft=Hohenhausen%2C+Christoph},,,,,,,Male,,,,,,,,,,,,,,,,1.0,,,,,
"Holbrooke, Joshua",False,,Holbrook,,,,,,,,,,,,,,,,,Male,English,,,,,,P000942,,,,,1.0,,,,,,,,,
"Holl, Gothart",False,,Hull; Hole; Höll,,Gotthart; Gotthard; Getthart; Godard,,,,,,,,,,,,,,,Male,,,,,,,P000439,,,,,,,1.0,,,,,,,
"Holland, James",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000943,,,,,1.0,,,,,,,,,
"Hollinshead, John",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000440,,,,,1.0,,,,,,,,,
"Hollyman, Thomas",False,,Holliman,,,,,,,,,,,,,,,,,Male,English,,,,,,P000441,,,,,1.0,,,,,,,,,
"Holter, Willem",False,,Holt; Hölt; Hölter,,William; Wilem; Wilhelm; Willhelm,,,,,,,,,,,,,,,Male,,,,,,,P000443,,,,,,,1.0,,,,,,,
"Holzhalb, David",False,,Holtzhalb,,,,,,,,,,,,,,,,,Male,,,,Krefeld Congregation,,,P000944,,,,,,,1.0,,,,,,,
"Honnore, Jan",False,BREN | 11/21/24,Honore; Honoré; Honor,,John; Johannes; Johan,,,,,,"Amsterdam, Netherlands",,,,,,,Deacon; Treasurer,,Male,Dutch,Mennonite,,,,,P000945,,,,,,,1.0,,,,,,,
"Hoodt, Caspar",False,,,,,,,,,,,,,,,,,,,Male,English,,,Congregation of the Lam; Committee for Foreign Need,,,P000946,,,,,1.0,,,,,,,,,
"Hooft, Henrick Van",False,,Hoofd; t'Hooft; Höft; Hoft,,Hendrick; Henrik; Heinrich,,,,,,,,,,,,,,,Male,,,,,,,P000083,,,,,,,1.0,,,,,,,
"Hoops, Joshua",False,,,,,,,"Bucks County, Pennsylvania",,,,"Records of the Courts of the Quarter Sessions of Bucks County, 1684-1700",,,,,,,,Male,English,,,,,16025,P000445,,,,,1.0,,,,,,,,,
"Hoorens, Daniel",False,BREN | 11/21/24,Horens; Hoorne; Hooren,,Daniele; Danielle,,,,,,,,,,,,,,,Male,,,,,,,P000444,,,,HOVENS?,,,1.0,,,,,,,
"Hoskins, Richard",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000448,,,,,,,,,,,,,,
"Hoskins, Robert",False,,Hoskings,,,,,,,,,,,,,,,,,Male,English,,,,,16171; 16053,P000812,,,,,1.0,,,,,,,,,
"Hottensloon, Abraham Van",False,,Hottensen; Hotthausen; Hotensloon,,Abram,,,,,,,,,,,,,,,Male,,,,Committee for Foreign Need,,,P000811,,,,,,,1.0,,,,,,,
"Hough, Jeremy",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,16172; 16054,P000949,,,,,1.0,,,,,,,,,
"Hough, John",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,16148,P000449,,,,,1.0,,,,,,,,,
"Hough, Richard",False,,,,,,,,,,,,,,"1684-03-17
{{https://www.ancestry.com/imageviewer/collections/14319/images/dvm_LocHist001149-00011-1?rc=&queryId=19f269cd-ded2-4c45-bbb4-edc681727bcb&usePUB=true&usePUBJs=true&pId=18}}",,Margery Clows {{http://files.usgwarchives.net/pa/bucks/history/local/davis/davis07.txt}},,,Male,English,,,,,,P000450,,,,,1.0,,,,,,,,,
"Houlden, James",False,,Holden,,,,,,,,,,,,,,,,,Male,English,,,,,,P000082,,,,,1.0,,,,,,,,,
"Hoult, James",False,,Holt,,,,,,,,,,,,,,,,,Male,English,,,,,,P000452,,,,,1.0,,,,,,,,,
"Hoult, John",False,,Holt,,,,,,,,,,,,,,,,,Male,English,,,,,,P000453,,,,,1.0,,,,,,,,,
"Hoult, Ralph",False,,Holt,,,,,,,,,,,,,,,,,Male,English,,,,,,P000454,,,,,1.0,,,,,,,,,
"Hovens, Enoch",False,BREN | 11/21/24,Hove; Hoen; Horens; Hover; Hovey,,Hanoke; Enock,,,,,,"Haarlem, Netherlands",,1661,1742,,GAMEO,,Preacher,,Male,Dutch,Mennonite,,Haarlem Congregation,,,P000455,,,,,,,1.0,,,,,,,
"Howard, James",False,CLW 3/10/25,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000950,,,,,1.0,,,,,,,,,
"Howgill, Dorothy",False,,,,,,,,,,,,,,,,,,,Female,English,,,,,,P000457,N/A,N/A,N/A,,,1.0,,,,1.0,,,,
"Hunter, Mary",False,,,,,,,,,,,,,,,,,,,Female,English,,,,,,P000461,,,,,1.0,,,,,,,,,
"Hunter, Randall",False,,,,Randle,,,"London, England",,,,,,,,,,,,Male,English,,,,,15748,P000462,,,,,,,,,,,,,,
"Hurst, John",False,,Hearst,,,,,,,,,,,before 1684-05-24,,15930,,,,Male,English,,,,,15743; 15944,P000800,,,,described as cousin to Ralph Pemberton (#15930),1.0,,,,,,,,,
"Hütwohl, Valentin",False,,Huetwohl; Hütwohl; Hüetwol; Hutwohl; Huthwohl; Heatwohl,,Valentijn; Valentine; Valentÿn,,,,,,"Kriegsheim, Germany",,,,,,,Preacher,,Male,,Mennonite,,,,,P000463,,,,,,,1.0,,,,,,,
"Ingelfold, John",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000951,,,,,1.0,,,,,,,,,
"Jackson, Ralph",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000085,,,,,,,,,,,,,,
"Jackson, Robert",False,,,,,,,"Bolton, Lancashire, England",,,,,,,,,,,,Male,English,,,,,16171,P000805,,,,,1.0,,,,,,,,,
"Janney, Jacob",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P001140,,,,,1.0,,,,,,,,,
"Janney, Joseph",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,16171,P000466,,,,,1.0,,,,,,,,,
"Janney, Jr., Thomas",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,16171,P000467,,,,,1.0,,,,,,,,,
"Janney, Mary",False,,,,,,,,,,,,,,,,,,,Female,English,,,,,16171,P000468,,,,,1.0,,,,,,,,,
"Janney, Anna",False,,Jany; Jenny,,,,,,,,,,,,,,,,,Female,,,,,,,P000086,,,,"Different, change name to correct. ",,,1.0,,,,,,,
"Jansen, Conradt",False,,Jensen; Jan; Johannes; Jansson; Janssen; Jansz; Joanson; Joansen,,Conrad; Konrad; Conraad; Conradt; Coenraadt; Konraad; Konradt; Koenraadt,,,,,,,,,,,,,,,Male,,,,,,,P000952,,,,,,,1.0,,,,,,,
"Janson, Claus",False,,Johnson; Jonson; Jansen; Johanson,,Claes,,,"Neshaminy Creek, Pennsylvania",,,,,1658,1723-12-00,1681-1682,FindaGrave,,,,Male,English,Lutheran,Church Records of Gloria Dei,,,,P000953,,,,Quarrelled with John Tabham,1.0,,,,,,,,,
"Janson, Jan",False,,Johnson; Jonson; Jansen,,John; Jon,,,"Dublin, Ireland [with Phineas]",,,,,,,,,,,,Male,English,,,"Gloria Dei, Philadelphia",Church Records of Gloria Dei,16010,P000720,,,,,1.0,,,,,,,,,
"Janson, Mary",False,,Johnson; Jonson; Jansen,,,,,,,,,,,,,,,,,Female,English,,,"Gloria Dei, Philadelphia",Church Records of Gloria Dei,15961,P000469,,,,,1.0,,,,,,,,,
"Janson, Weyert",False,,Johnson; Jonson; Jansen,,,,,,,,,,,1686-10-20,,15962,,,,Male,English,,,,,,P000470,,,,,1.0,,,,,,,,,
"Jarman, Thomas",False,,Jerman,,,,,,,,,,,,,,,,,Male,English,,,,,,P000471,,,,,1.0,,,,,,,,,
"Jennings, Ann",False,,,,anne,,,"Burlington, New Jersey",,,,,1659,1739,,,,,,Female,English,,,,,,P000472,,,,https://ancestors.familysearch.org/en/LBMV-JS9/ann-oliffe-1659-1739,1.0,,,,,,,,,
"Jesson, […]",False,,,,,,,"Conventry, England",,,,,,,,,,,,Male,English,,,,,,P000473,,,,,1.0,,,,,,,,,
"Joanson, Jan Willink",False,,Jansz; Janssen; Jansen; Jensen; Jansson; Janszen,,John; Johan; Johannes,,,,,,,,,,,,,,,Male,,,,,,16170,P000088,,,,,,,1.0,,,,,,,
"Johns Sr., Richard",False,,John,,,,,,"Bristol, England",Maryland,"Calvert County, Maryland",,1645,1717,,,,pastor,,Male,English,quakers,,,,,,N/A,N/A,N/A,"Second husband of his wife, Elizabeth",,1.0,,,,1.0,,,,
"Johns Jr., Richard",False,,,,,,,,,,,,,,,,,,,Male,English,quakers,,,,16074; 16164; 16175,P000089,,,,,1.0,1.0,,,,,,,,
"Johnson, Richard",False,,Jonson,,,,,,,,,,,,,,,,,Male,English,,,,,16161,P000090,,,,,1.0,,,,,,,,,
"Johnson, Thomas",False,,Jonson,,,,,"Liverpool, Lancashire, England",,,,,,,,,,,,Male,English,,,,,,P000954,,,,,1.0,,,,,,,,,
"Jong, Jacob Linnigs De",False,,Jonge; Jan; Jansz; Jannes,,Jakob; Jakop; Jacop,,,,,,,,,,,,,,,Male,,,,Committee for Foreign Need,,,P000474,,,,,,,1.0,,,,,,,
"Jonker, Roeloff",False,,Junker; Jonghheer; Jonkheer,,Rudolph; Rolph; Rollo; Rolf; Rudolf,,,,,,,,,,,,,,,Male,,,,Congregation of the Lam,,,P000956,,,,,,,1.0,,,,,,,
"Jordan, Thomas",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000957,N/A,N/A,N/A,,,1.0,,,,1.0,,,,
"Juncker, Charlotte Sophie",False,LAB 3/7/2025,,,,,Countess,,"Waldeck, Hesse, Germany","Halle, Thuringia, Germany",,https://de.wikipedia.org/wiki/Johann_Juncker,1667-01-28,1723-09-06,1707,https://de.wikipedia.org/wiki/Johann_Juncker,,Countess,https://de.wikipedia.org/wiki/Johann_Juncker,Female,German,Pietist,https://de.wikipedia.org/wiki/Johann_Juncker,,,,,,,,,,,1.0,,1.0,,,,,
"Justus Luders, Halberstadt?",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,
"Jutzii, Jacob",False,,Jutz; Juta; Jutzi; Juttzl Jutzij; Jutzey,,Jakob; Jakop; Jacop,,,,,,,,,,,,,,,Male,,,,Palatinate Ministers,,,P000475,,,,,,,1.0,,,,,,,
"Kalkar, Hendrik Van",False,,Kalka; Kalkmar; Kakar; Kasper; Alkmar; Calcar,,Hendrick; Henrik; Heinrich; Henrick; Henrich; Heinrig,,,,,,,,,,,,,,,Male,,,,,,,P000958,,,,,,,1.0,,,,,,,
"Kasdorp, Harmen",False,,Kasdorph; Casdorp; Casdorph,,Herman; Harman; Hermann,,,,,,,,,,,,,,,Male,,,,,,,P000959,,,,,,,1.0,,,,,,,
"Kassel, Gilles",False,,Cassel; Casel; Kasel; Castle; Caasel; Kaasel,,Giles; Gyles; Gillis,,,,,,,,,,,,,,,Male,,,,,,,P000960,,,,,,,1.0,,,,,,,
"Kassel, Johannes",False,,Cassel; Casel; Kasel; Castle; Caasel; Kaasel,,Jan; Johan; John,,,,,,,,,,,,,,,Male,,,,Skippack Congregation; Doopsgezinde Gemeente,,,P000961,,,,,,,1.0,,,,,,,
"Kate, Herman Ten",False,,Köth; Koethe; Cate; Cote; ,,Harmen; Harman; Hermann,,,,,,,,,,,,,Grain dealer,,Male,Dutch,Mennonite,,,,,P000962,,,,,,,1.0,,,,,,,
"Kauffman, David",False,,Kaufman; Kaufmann; Coffman; Cauffman,,,,,,,,,,,,,,,,,Male,,,,Committee for Foreign Need,,,P000963,,,,,,,1.0,,,,,,,
"Kauffman, Michael",False,,Kaufman; Kaufmann; Coffman; Cauffman,,Michele,,,,,,,,,,,,,,,Male,,,,Immelhause Congregation,,,P000964,,,,,,,1.0,,,,,,,
"Kennerley, William",False,,Kenerly,,,,,,,,,,,,,,,,,Male,English,,,,,,P000476,,,,,1.0,,,,,,,,,
"Kenyon, John, Judge",False,,,,,,Judge,"Lancaster, Lancashire, England",,,,,,,,,,judge,,Male,English,,,,,15752,P000801,,,,Name source {{https://www.google.com/books/edition/Friends_Miscellany/U8kYAAAAYAAJ?hl=en&gbpv=1&dq=longworth&pg=PA22&printsec=frontcover}},1.0,,,,,,,,,
"Kerfoot, Walter",False,BNC 04/30/2025,,,,,,"Warrington, England",,,"Warrington, England",,c. 1743 {{https://search.findmypast.co.uk/record?id=GBPRS%2FCHS%2F4018423%2F01485&parentid=GBPRS%2FM%2F737031238%2F1}},,March 1764 {{https://search.findmypast.co.uk/record?id=GBPRS%2FCHS%2F4018423%2F01485&parentid=GBPRS%2FM%2F737031238%2F1}},,Ann Chimney {{https://search.findmypast.co.uk/record?id=GBPRS%2FCHS%2F4018423%2F01485&parentid=GBPRS%2FM%2F737031238%2F1}},Lawyer,,Male,English,Evangelical,,,,,,n.a.,n.a.,n.a.,,,,,,,,,1.0,,
"Key, Leonard",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,
"Killam, Joan",False,LKM 5/13/25,,,,Aldam,,,,,"Balby, Yorkshire, England {{https://archive.org/details/agv9012.0001.001.umich.edu/page/n3/mode/2up}} [[The Journal of George Fox-Penney p. 461]] ",,,"1681-07-15 [[England & Wales, Society Of Friends (Quaker) Burials 1578-1841]]",,,Thomas Killam,,,Female,English,Quaker,,,,,P000503,N/A,N/A,N/A,Aldam-21 (WikiTree ID),,1.0,,,,1.0,,,,
"Killam, John",False,LKM 5/13/25,,,,,,"York Castle, York, Yorkshire, England {{https://archive.org/details/agv9012.0001.001.umich.edu/page/n3/mode/2up}} [[The Journal of George Fox-Penney p. 462]] ",,,"Balby, Yorkshire, England {{https://archive.org/details/agv9012.0001.001.umich.edu/page/n3/mode/2up}} [[The Journal of George Fox-Penney p. 461]] ",,,,,,Margaret Aldam,,,Male ,English,,,,,,P000948,N/A,N/A,N/A,Kilham-83 (WikiTree ID),,1.0,,,,1.0,,,,
"Killam, Thomas",False,LKM 5/13/25,,,,,,,,,"Balby, Yorkshire, England {{https://archive.org/details/agv9012.0001.001.umich.edu/page/n3/mode/2up}} [[The Journal of George Fox-Penney p. 461]] ",,,,,,Joan Aldam,,,Male,English,,,,,,P000477,N/A,N/A,N/A,Kilham-82 (WikiTree ID),,1.0,,,,1.0,,,,
King William Iii,False,,,,,,King; Konig,,,,,,,,,,,,,Male,,,,,,,P000478,,,,,,,1.0,,,,,,,
"Kinsey, John",False,,Kinsy,,,,,,,,,,,,,,,,,Male,English,,,,,,P000966,,,,,1.0,,,,,,,,,
"Kintigh, Martin",False,,Kintig; Kentig; Kintik; Kentik; Kentick; Kinteg,,Maartin,,,,,,,,,,,,,,,Male,,,,Palatinate Ministers,,,P000967,,,,,,,1.0,,,,,,,
"Kirchner, Brigitta",False,AMF 4/22/2025,,,,Doßer {{https://archiv.francke-halle.de/hzeig.FAU?sid=DC14909F28&dm=1&dokref=1&indx=%23F211%23&auft=R%FCck%2C+von%2C+1698}},,,,,"Erfurt, Thuringia, Germany {{https://archiv.francke-halle.de/hzeig.FAU?sid=DC14909F28&dm=1&dokref=1&indx=%23F211%23&auft=R%FCck%2C+von%2C+1698}}",,1664-10-16 {{https://archiv.francke-halle.de/hzeig.FAU?sid=DC14909F28&dm=1&dokref=1&indx=%23F211%23&auft=R%FCck%2C+von%2C+1698}},,1694-02-13 {{https://archiv.francke-halle.de/hzeig.FAU?sid=DC14909F28&dm=1&dokref=1&indx=%23F211%23&auft=R%FCck%2C+von%2C+1698}},,"Kirchner, Johann Stephan",,,,,,,,,,,,,,,,,,,1.0,,,,,
"Kirkbride, Phebe",False,,,,Phoebe,Blackshaw,,,"Cheshire, England",,,,,,,,,,,Female,English,,,,,,P000094,,,,,1.0,,,,,,,,,
"Kirkman, […]",False,,,,,,,Emsworth,,,,,,,,,,,,Male,English,,,,,,P000480,,,,,1.0,,,,,,,,,
